,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Metascore,Votes,Gross collection,Description,Certificate
659,The Motorcycle Diaries,2004,126 min,"Adventure, Biography, Drama            ",7.8,75,"100,771",$16.76M,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,R
660,Lilya 4-Ever,2002,109 min,"Crime, Drama            ",7.8,82,"45,394",$0.18M,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",R
661,Millennium Actress,2001,87 min,"Animation, Drama, Fantasy            ",7.8,70,"27,503",$0.19M,A TV interviewer and his cameraman meet a former actress and travel through her memories and career.,PG
662,Cowboy Bebop: The Movie,2001,115 min,"Animation, Action, Crime            ",7.8,61,"48,137",$1.00M,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",TV-14
663,Joint Security Area,2000,110 min,"Action, Drama, Thriller            ",7.8,58,"29,776",None,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",Not Rated
664,Remember the Titans,2000,113 min,"Biography, Drama, Sport            ",7.8,48,"212,243",$115.65M,The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.,PG
665,All About My Mother,1999,101 min,Drama            ,7.8,87,"95,819",$8.26M,"Young Esteban wants to become a writer and also to discover the identity of his second mother, a trans woman, carefully concealed by his mother Manuela.",R
666,Cast Away,2000,143 min,"Adventure, Drama, Romance            ",7.8,73,"578,065",$233.63M,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.,PG-13
667,The Insider,1999,157 min,"Biography, Drama, Thriller            ",7.8,84,"169,814",$28.97M,A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,R
668,October Sky,1999,108 min,"Biography, Drama, Family            ",7.8,71,"89,869",$32.48M,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",PG
669,Being John Malkovich,1999,113 min,"Comedy, Drama, Fantasy            ",7.8,90,"331,108",$22.86M,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,R
670,Gattaca,1997,106 min,"Drama, Sci-Fi, Thriller            ",7.8,64,"299,632",$12.34M,A genetically inferior man assumes the identity of a superior one in order to pursue his lifelong dream of space travel.,PG-13
671,Hamlet,1996,242 min,Drama            ,7.8,None,"38,034",$4.41M,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",PG-13
672,Breaking the Waves,1996,159 min,Drama            ,7.8,76,"66,422",$4.04M,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.",R
673,Ed Wood,1994,127 min,"Biography, Comedy, Drama            ",7.8,70,"174,832",$5.89M,"Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams, despite his lack of talent.",R
674,Tombstone,1993,130 min,"Biography, Drama, History            ",7.8,50,"145,280",$56.51M,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",R
675,The Sandlot,1993,101 min,"Comedy, Drama, Family            ",7.8,55,"89,663",$32.42M,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",PG
676,The Remains of the Day,1993,134 min,"Drama, Romance            ",7.8,86,"73,399",$22.95M,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,PG
677,Ninja Scroll,1993,94 min,"Animation, Action, Adventure            ",7.8,None,"37,199",None,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,Not Rated
678,The Fugitive,1993,130 min,"Action, Crime, Drama            ",7.8,87,"289,901",$183.88M,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",PG-13
679,A Bronx Tale,1993,121 min,"Crime, Drama            ",7.8,80,"139,240",$17.27M,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,R
680,Batman: Mask of the Phantasm,1993,76 min,"Animation, Action, Adventure            ",7.8,None,"50,114",$5.62M,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,PG
681,Boyz n the Hood,1991,112 min,"Crime, Drama            ",7.8,76,"138,385",$57.50M,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",R
682,Misery,1990,107 min,"Drama, Thriller            ",7.8,75,"204,364",$61.28M,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.",R
683,Awakenings,1990,121 min,"Biography, Drama            ",7.8,74,"138,637",$52.10M,"The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them.",PG-13
684,Kiki's Delivery Service,1989,103 min,"Animation, Adventure, Family            ",7.8,83,"140,851",None,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",G
685,Glory,1989,122 min,"Biography, Drama, History            ",7.8,78,"133,597",$26.83M,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",R
686,The Killer,1989,111 min,"Action, Crime, Drama            ",7.8,82,"48,172",None,A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,R
687,Crimes and Misdemeanors,1989,104 min,"Comedy, Drama            ",7.8,77,"57,710",$18.25M,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,PG-13
688,Back to the Future Part II,1989,108 min,"Adventure, Comedy, Sci-Fi            ",7.8,57,"520,152",$118.50M,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",PG
689,Mississippi Burning,1988,128 min,"Crime, Drama, History            ",7.8,65,"99,191",$34.60M,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,R
690,Predator,1987,107 min,"Action, Adventure, Horror            ",7.8,45,"401,576",$59.74M,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,R
691,Ferris Bueller's Day Off,1986,103 min,Comedy            ,7.8,61,"349,615",$70.14M,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",PG-13
692,The Breakfast Club,1985,97 min,"Comedy, Drama            ",7.8,66,"388,061",$45.88M,Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,R
693,The Killing Fields,1984,141 min,"Biography, Drama, History            ",7.8,76,"55,219",$34.70M,"A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.",R
694,Ghostbusters,1984,105 min,"Action, Comedy, Fantasy            ",7.8,71,"406,064",$238.63M,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.",PG
695,The Right Stuff,1983,193 min,"Adventure, Biography, Drama            ",7.8,91,"60,999",$21.50M,"The U.S. space program's development from the breaking of the sound barrier to selection of the Mercury 7 astronauts, from a group of test pilots with a more seat-of-the-pants approach than the program's more cautious engineers preferred.",PG
696,The King of Comedy,1982,109 min,"Comedy, Crime, Drama            ",7.8,73,"101,263",$2.50M,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",PG
697,Kramer vs. Kramer,1979,105 min,Drama            ,7.8,77,"143,696",$106.26M,"After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation.",PG
698,All That Jazz,1979,123 min,"Drama, Music, Musical            ",7.8,72,"31,437",$37.82M,"Director/choreographer Bob Fosse tells his own life story as he details the sordid career of Joe Gideon, a womanizing, drug-using dancer.",R
699,Days of Heaven,1978,94 min,"Drama, Romance            ",7.8,93,"57,634",None,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,PG
700,Dawn of the Dead,1978,127 min,"Horror, Thriller            ",7.8,71,"119,193",$5.10M,"Following an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia S.W.A.T. team members, a traffic reporter, and his television executive girlfriend seek refuge in a secluded shopping mall.",Unrated
701,The Outlaw Josey Wales,1976,135 min,Western            ,7.8,69,"72,749",$31.80M,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,PG
702,The Man Who Would Be King,1975,129 min,"Adventure, History, War            ",7.8,91,"48,603",None,"Two former British soldiers in 1880s India decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great.",PG
703,The Holy Mountain,1973,114 min,"Adventure, Drama, Fantasy            ",7.8,76,"42,250",$0.06M,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",R
704,The Conversation,1974,113 min,"Drama, Mystery, Thriller            ",7.8,87,"110,206",$4.42M,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",PG
